Nom,Age,Position_Encoded,Valeur_Marchande,Matchs_22_23,Buts_22_23,Minutes_22_23,Prix
Jude Bellingham,22,3.0,120000000.0,42,14,3557,127000000.0
Declan Rice,27,3.0,90000000.0,50,5,4148,116600000.0
Moisés Caicedo,24,3.0,75000000.0,43,1,3666,116000000.0
Harry Kane,32,4.0,90000000.0,49,32,4303,95000000.0
Randal Kolo Muani,27,4.0,80000000.0,46,23,3634,95000000.0
Josko Gvardiol,24,2.0,75000000.0,41,3,3005,90000000.0
Neymar,34,3.0,60000000.0,29,18,2362,90000000.0
Christopher Nkunku,28,4.0,80000000.0,36,23,2733,60000000.0
Rasmus Højlund,23,4.0,45000000.0,42,16,2553,77800000.0
Kai Havertz,26,4.0,55000000.0,47,9,3256,75000000.0
Dominik Szoboszlai,25,3.0,50000000.0,46,10,3710,70000000.0
Gonçalo Ramos,24,4.0,50000000.0,47,27,3480,65000000.0
Alexis Mac Allister,27,3.0,65000000.0,40,12,3309,42000000.0
Roméo Lavia,22,3.0,32000000.0,35,1,2537,62100000.0
Matheus Nunes,27,2.0,45000000.0,41,2,2939,62000000.0
Sandro Tonali,25,3.0,50000000.0,48,2,3985,60800000.0
Mason Mount,27,3.0,60000000.0,35,3,2199,67700000.0
Jérémy Doku,23,4.0,28000000.0,35,7,1616,60000000.0
Manuel Ugarte,24,3.0,50000000.0,47,0,3573,60000000.0
Malcom,28,4.0,30000000.0,33,26,2739,60000000.0
Otávio,30,3.0,35000000.0,44,7,3637,60000000.0
Min-jae Kim,29,2.0,60000000.0,45,2,3878,50000000.0
Ousmane Dembélé,28,4.0,60000000.0,35,8,2169,50000000.0
James Maddison,29,3.0,60000000.0,32,10,2579,46300000.0
Brennan Johnson,24,4.0,38000000.0,44,10,3303,55000000.0
Moussa Diaby,26,4.0,50000000.0,48,14,3887,55000000.0
Rúben Neves,28,3.0,40000000.0,41,6,3411,55000000.0
Aleksandar Mitrović,31,4.0,28000000.0,28,15,2230,52600000.0
Matheus Cunha,26,4.0,25000000.0,37,2,1565,50000000.0
Sergej Milinković-Savić,30,3.0,50000000.0,47,11,3717,40000000.0
Dejan Kulusevski,25,3.0,50000000.0,37,2,2417,30000000.0
Cole Palmer,23,3.0,18000000.0,25,1,850,47000000.0
Fabinho,32,3.0,42000000.0,49,0,3539,46700000.0
Lucas Hernández,29,2.0,45000000.0,11,1,833,45000000.0
Bradley Barcola,23,4.0,18000000.0,35,7,2129,45000000.0
Axel Disasi,27,2.0,30000000.0,49,6,4380,45000000.0
Marco Verratti,33,3.0,40000000.0,38,0,2985,45000000.0
Pau Torres,29,2.0,45000000.0,39,1,3349,33000000.0
Harvey Barnes,28,4.0,35000000.0,40,13,3247,44000000.0
Mohammed Kudus,25,4.0,40000000.0,42,18,2693,43000000.0
Jurriën Timber,24,2.0,42000000.0,47,2,4207,40000000.0
Ryan Gravenberch,23,3.0,30000000.0,33,1,938,40000000.0
Pedro Porro,26,2.0,40000000.0,43,6,3205,40000000.0
Micky van de Ven,24,2.0,30000000.0,36,1,3240,40000000.0
Benjamin Pavard,29,2.0,40000000.0,43,7,3376,31400000.0
Vitor Roque,20,4.0,40000000.0,45,21,3148,30000000.0
Xavi Simons,22,3.0,40000000.0,48,22,3800,4000000.0
Edson Álvarez,28,3.0,35000000.0,44,4,3699,38000000.0
James Ward-Prowse,31,3.0,38000000.0,45,11,3973,34800000.0
Mateo Kovacic,31,3.0,38000000.0,37,2,2467,29100000.0
Tino Livramento,23,2.0,25000000.0,3,0,71,37200000.0
Nicolas Jackson,24,4.0,30000000.0,38,13,2121,37000000.0
André Onana,29,1.0,35000000.0,41,0,3720,50200000.0
Loïs Openda,25,4.0,35000000.0,42,21,2801,40000000.0
Ibrahim Sangaré,28,3.0,35000000.0,45,8,3765,35000000.0
Elye Wahi,23,4.0,35000000.0,33,19,2531,30000000.0
Orkun Kökçü,25,3.0,35000000.0,46,12,3959,29700000.0
Giacomo Raspadori,25,4.0,35000000.0,35,6,1352,28000000.0
João Pedro,24,4.0,32000000.0,35,11,2792,34200000.0
Allan Saint-Maximin,28,4.0,32000000.0,31,1,1376,27200000.0
Seko Fofana,30,3.0,32000000.0,39,9,3312,25000000.0
Benjamin Sesko,22,4.0,24000000.0,41,18,2576,31650000.0
El Bilal Touré,24,4.0,12000000.0,25,7,1400,30200000.0
Manuel Locatelli,28,3.0,30000000.0,49,0,3645,36400000.0
Felix Nmecha,25,3.0,15000000.0,32,3,1884,30000000.0
Sacha Boey,25,2.0,22000000.0,33,1,2835,30000000.0
Folarin Balogun,24,4.0,30000000.0,39,22,3146,30000000.0
Moise Kean,25,4.0,18000000.0,40,8,1464,30000000.0
Gabri Veiga,23,3.0,30000000.0,40,11,2555,30000000.0
Sadio Mané,33,4.0,25000000.0,38,12,2205,30000000.0
Castello Lukeba,23,2.0,25000000.0,38,2,3313,30000000.0
Roger Ibañez,27,2.0,30000000.0,48,3,4089,28500000.0
Arthur Vermeeren,21,3.0,30000000.0,40,2,3311,20000000.0
Jota,26,4.0,13000000.0,43,15,2933,29100000.0
Hugo Ekitiké,23,4.0,20000000.0,32,4,1396,28500000.0
Jesper Lindstrøm,25,4.0,28000000.0,38,9,2364,30000000.0
Gianluca Scamacca,27,4.0,22000000.0,27,8,1355,28000000.0
Alex Iwobi,29,4.0,28000000.0,41,2,3561,25700000.0
Aymeric Laporte,31,2.0,25000000.0,24,0,1864,27500000.0
Lesley Ugochukwu,21,3.0,9000000.0,35,0,1996,27000000.0
Carlos Baleba,22,3.0,5000000.0,25,0,981,27000000.0
Tyler Adams,26,3.0,18000000.0,26,0,2292,26900000.0
Nathan Collins,24,2.0,22000000.0,31,0,2262,26850000.0
Arda Güler,20,3.0,15000000.0,35,6,1549,26000000.0
Hamed Traoré,25,4.0,22000000.0,18,0,1022,25620000.0
Christoph Baumgartner,26,3.0,24000000.0,36,7,2823,25500000.0
Beto,28,4.0,25000000.0,34,10,2195,25000000.0
Lovro Majer,28,3.0,20000000.0,42,3,2340,25000000.0
Radu Drăgușin,24,2.0,20000000.0,40,4,3555,25000000.0
Kevin Schade,24,4.0,25000000.0,31,1,1045,25000000.0
Ernest Nuamah,22,4.0,6000000.0,34,15,2854,25000000.0
Antoine Griezmann,34,4.0,25000000.0,48,16,3634,22000000.0
Marcos Leonardo,22,4.0,25000000.0,49,21,4132,22000000.0
Samuel Chukwueze,26,4.0,25000000.0,50,13,3261,21100000.0
Christian Pulisic,27,4.0,25000000.0,30,1,1013,20800000.0
Ruben Loftus-Cheek,30,3.0,25000000.0,33,0,1912,18900000.0
Marcelo Brozović,33,3.0,25000000.0,40,3,2508,15700000.0
Hirving Lozano,30,4.0,25000000.0,41,4,2076,15000000.0
Yannick Carrasco,32,4.0,25000000.0,44,10,2845,15000000.0
Boulaye Dia,29,4.0,25000000.0,33,16,2526,14400000.0
Timothy Castagne,30,2.0,25000000.0,42,2,3562,13000000.0
Franck Kessié,29,3.0,25000000.0,43,3,1801,12500000.0
Tetê,25,4.0,25000000.0,33,7,2108,1000000.0
Tijjani Reijnders,27,3.0,14000000.0,54,7,4843,24800000.0
Viktor Gyökeres,27,4.0,13000000.0,50,22,4379,24000000.0
Eljif Elmas,26,3.0,24000000.0,47,6,1981,24000000.0
Nathan Tella,26,4.0,18000000.0,45,19,2844,23300000.0
Alex Scott,22,3.0,20000000.0,49,2,3786,23000000.0
Renan Lodi,27,2.0,20000000.0,32,1,2538,23000000.0
Kalidou Koulibaly,34,2.0,15000000.0,32,2,2550,23000000.0
Anthony Elanga,23,4.0,18000000.0,26,0,705,22930000.0
Victor Boniface,25,4.0,12000000.0,55,22,4013,22600000.0
Terem Moffi,26,4.0,20000000.0,38,21,3067,22500000.0
Calvin Bassey,26,2.0,15000000.0,39,1,2797,22500000.0
Robert Sánchez,28,1.0,22000000.0,25,0,2280,23000000.0
Kang-in Lee,24,3.0,22000000.0,39,6,3083,22000000.0
Luiz Felipe,28,2.0,15000000.0,30,0,2396,22000000.0
Anatoliy Trubin,24,1.0,22000000.0,38,0,3450,10000000.0
Djibril Sow,29,3.0,22000000.0,47,4,3931,10000000.0
Cameron Archer,24,4.0,12000000.0,30,11,1624,21550000.0
Adam Wharton,22,3.0,10000000.0,29,3,1882,21100000.0
Yassine Bounou,34,1.0,12000000.0,36,0,3187,21000000.0
Josip Sutalo,25,2.0,18000000.0,36,3,3035,20500000.0
Milos Kerkez,22,2.0,15000000.0,52,5,4197,20470000.0
Riyad Mahrez,34,4.0,20000000.0,47,15,3068,35000000.0
Arthur Cabral,27,4.0,20000000.0,48,17,2551,20500000.0
Wataru Endo,32,3.0,6500000.0,40,6,3523,20000000.0
Denis Zakaria,29,3.0,18000000.0,13,1,722,20000000.0
Enzo Le Fée,26,3.0,20000000.0,36,6,3133,20000000.0
Konstantinos Mavropanos,28,2.0,15000000.0,34,3,2725,20000000.0
Lucas Beraldo,22,2.0,15000000.0,48,1,4199,20000000.0
Gabriel Moscardo,20,3.0,15000000.0,37,1,2399,20000000.0
Abakar Sylla,23,2.0,8000000.0,27,1,2045,20000000.0
Matheus França,21,3.0,9000000.0,29,3,1058,20000000.0
Bart Verbruggen,23,1.0,10000000.0,37,0,3420,20000000.0
Cyril Ngonge,25,4.0,6000000.0,28,8,1626,20000000.0
Andrea Pinamonti,26,4.0,15000000.0,32,5,2181,20000000.0
Nicolas Seiwald,24,3.0,20000000.0,43,4,3638,20000000.0
Marcel Sabitzer,31,3.0,20000000.0,42,4,2054,19000000.0
Merih Demiral,27,2.0,20000000.0,28,1,1524,17000000.0
Noah Okafor,25,4.0,20000000.0,32,10,1851,15500000.0
Granit Xhaka,33,3.0,20000000.0,47,9,3704,15000000.0
Cengiz Ünder,28,4.0,20000000.0,46,5,2924,15000000.0
Ludovic Blas,28,3.0,20000000.0,51,12,3945,15000000.0
Sander Berge,27,3.0,20000000.0,43,7,3425,13900000.0
Ismaïla Sarr,27,4.0,20000000.0,39,10,3181,13000000.0
Fred,32,3.0,20000000.0,56,6,2277,9740000.0
Demarai Gray,29,4.0,20000000.0,36,6,2715,9300000.0
Ivan Ilić,24,3.0,19000000.0,27,2,2151,16500000.0
Mauro Icardi,32,4.0,19000000.0,26,23,2009,10000000.0
Taty Castellanos,27,4.0,15000000.0,37,14,2768,18600000.0
Zeki Amdouni,25,4.0,10000000.0,52,22,3829,18600000.0
Edouard Mendy,33,1.0,12000000.0,12,0,1035,18500000.0
Claudio Echeverri,20,3.0,12000000.0,10,1,430,18500000.0
Yunus Musah,23,3.0,18000000.0,37,0,2360,21200000.0
Francisco Trincão,26,3.0,15000000.0,52,13,3407,18000000.0
Habib Diallo,30,4.0,18000000.0,38,20,2970,18000000.0
Dean Henderson,28,1.0,18000000.0,20,0,1800,17500000.0
Iliman Ndiaye,25,4.0,18000000.0,52,15,4108,17000000.0
Mohammed Salisu,26,2.0,18000000.0,28,0,2439,15000000.0
Jesper Karlsson,27,4.0,18000000.0,33,13,2483,11150000.0
Sebastian Szymanski,26,3.0,18000000.0,40,10,2812,10700000.0
Jérémie Boga,29,4.0,14000000.0,25,2,902,17500000.0
Gustavo Hamer,28,3.0,8000000.0,45,11,3758,17300000.0
James Trafford,23,1.0,15000000.0,52,0,4680,17300000.0
Niclas Füllkrug,32,4.0,13000000.0,30,16,2689,17250000.0
Chris Wood,34,4.0,8000000.0,29,4,1056,17000000.0
Nikola Vlašić,28,3.0,17000000.0,37,5,2983,10600000.0
Pablo Fornals,29,3.0,17000000.0,50,7,2303,8000000.0
Nicolás Domínguez,27,3.0,17000000.0,34,3,2485,6650000.0
Dan Ndoye,25,4.0,3500000.0,54,7,3945,16450000.0
Aaron Ramsey,23,3.0,5000000.0,31,8,1805,16450000.0
Guglielmo Vicario,29,1.0,16000000.0,32,0,2904,18500000.0
Luiz Henrique,25,4.0,12000000.0,43,3,2475,16000000.0
Georges Mikautadze,25,4.0,10000000.0,40,24,3321,16000000.0
Deivid Washington,20,4.0,4000000.0,22,6,1246,16000000.0
Djordje Petrovic,26,1.0,6000000.0,25,0,2250,16000000.0
Mateo Retegui,26,4.0,16000000.0,28,12,2357,15250000.0
Jordan Beyer,25,2.0,16000000.0,35,1,2954,15000000.0
Max Aarons,26,2.0,16000000.0,48,1,4040,8100000.0
Sergi Darder,32,3.0,16000000.0,41,7,3449,8000000.0
Odysseas Vlachodimos,31,1.0,16000000.0,54,0,4888,4900000.0
Azor Matusiwa,27,3.0,10000000.0,31,0,2583,15500000.0
Morten Hjulmand,26,3.0,15000000.0,36,0,3084,19500000.0
Alejo Veliz,22,4.0,7000000.0,24,11,1882,15000000.0
Fabian Rieder,23,3.0,15000000.0,43,9,3432,15000000.0
Jean-Ricner Bellegarde,27,3.0,10000000.0,31,2,2455,15000000.0
Ângelo,21,4.0,13000000.0,32,2,1472,15000000.0
Artur,27,4.0,10000000.0,59,13,4170,15000000.0
Romain Faivre,27,3.0,10000000.0,27,5,1614,15000000.0
Hákon Arnar Haraldsson,22,3.0,6000000.0,43,5,2875,15000000.0
Abdou Diallo,29,2.0,10000000.0,15,1,800,15000000.0
El Chadaille Bitshiabu,20,2.0,7000000.0,21,0,1149,15000000.0
Gift Orban,23,4.0,15000000.0,22,20,1671,14000000.0
Robin Gosens,31,2.0,15000000.0,49,4,1826,13000000.0
Arsen Zakharyan,22,3.0,15000000.0,37,5,2905,13000000.0
Noa Lang,26,4.0,15000000.0,40,12,2862,12500000.0
Anton Stach,27,3.0,15000000.0,33,1,2291,12000000.0
Matteo Pessina,28,3.0,15000000.0,36,5,2995,12000000.0
Giovanni Simeone,30,4.0,15000000.0,33,9,766,12000000.0
Tommaso Baldanzi,22,3.0,15000000.0,27,4,1825,11500000.0
Ruslan Malinovskyi,32,3.0,15000000.0,38,3,2029,10000000.0
Sergio Canales,34,3.0,15000000.0,47,8,3445,10000000.0
Davinson Sánchez,29,2.0,15000000.0,24,0,1231,9500000.0
Iván Fresneda,21,2.0,15000000.0,24,0,1844,9000000.0
Artem Dovbyk,28,4.0,15000000.0,39,29,3437,7750000.0
Abde Ezzalzouli,24,4.0,15000000.0,34,6,1903,7500000.0
Diogo Leite,27,2.0,15000000.0,40,0,3292,7000000.0
Tiago Djaló,25,2.0,15000000.0,26,2,2111,5100000.0
Callum Hudson-Odoi,25,4.0,15000000.0,21,1,1074,3500000.0
Nicolás de la Cruz,28,3.0,14000000.0,38,7,2707,14500000.0
David Jurásek,25,2.0,5000000.0,45,2,3699,14000000.0
Joël Piroe,26,4.0,10000000.0,45,20,3953,14000000.0
Mergim Berisha,27,4.0,12000000.0,24,10,1705,14000000.0
Carlos Forbs,21,4.0,10000000.0,33,29,2626,14000000.0
César Montes,28,2.0,8000000.0,38,3,2763,14000000.0
Jordan Henderson,35,3.0,10000000.0,43,0,2559,14000000.0
Joakim Maehle,28,2.0,14000000.0,36,3,2392,12500000.0
Attila Szalai,28,2.0,14000000.0,52,3,4630,12300000.0
Timothy Weah,25,4.0,14000000.0,32,0,1941,11000000.0
Justin Kluivert,26,3.0,14000000.0,29,8,1676,10800000.0
Geoffrey Kondogbia,32,3.0,14000000.0,27,0,1402,8000000.0
Stefan Posch,28,2.0,14000000.0,33,6,2738,5000000.0
Willian Pacho,24,2.0,11000000.0,50,0,4410,13650000.0
Gustav Isaksen,24,4.0,7500000.0,45,22,3474,13400000.0
Emmanuel Emegha,23,4.0,8000000.0,38,10,2229,13000000.0
Mark Flekken,32,1.0,10000000.0,44,0,3990,13000000.0
Jonas Hofmann,33,3.0,13000000.0,33,14,2814,10000000.0
Valentín Barco,21,3.0,13000000.0,34,1,2506,9150000.0
Fran Navarro,28,4.0,13000000.0,43,21,3689,7000000.0
Andrew Omobamidele,23,2.0,6000000.0,35,1,2658,12850000.0
Youssef Chermiti,21,4.0,3000000.0,22,3,972,12500000.0
Vini Souza,26,3.0,6000000.0,37,1,2665,12500000.0
Gastón Ávila,24,2.0,3500000.0,31,1,2033,12500000.0
Jerdy Schouten,29,3.0,12000000.0,36,0,2725,12350000.0
Chuba Akpom,30,4.0,12000000.0,42,29,3420,12300000.0
Kristjan Asllani,23,3.0,12000000.0,29,0,859,15700000.0
Lucas Beltrán,24,4.0,12000000.0,35,16,2185,12600000.0
Loïc Badé,25,2.0,12000000.0,28,2,2274,12000000.0
Santiago Bueno,27,2.0,8000000.0,36,0,3119,12000000.0
Gonzalo Plata,25,4.0,5000000.0,36,1,2423,12000000.0
Marlon Gomes,22,3.0,6000000.0,27,0,1314,12000000.0
Murillo,23,2.0,3500000.0,31,0,2710,12000000.0
Anastasios Douvikas,26,4.0,9000000.0,38,22,2730,12000000.0
Wilson Odobert,21,4.0,6000000.0,32,4,1765,12000000.0
Keito Nakamura,25,4.0,8000000.0,36,17,2910,12000000.0
Mohamed Daramy,24,4.0,6000000.0,41,9,3063,12000000.0
Dodi Lukébakio,28,4.0,12000000.0,33,12,2522,10000000.0
Alexander Sørloth,30,4.0,12000000.0,47,16,3156,10000000.0
Wilfried Singo,25,2.0,12000000.0,35,2,2383,9100000.0
Conor Coady,32,2.0,12000000.0,25,2,2186,8700000.0
Borna Sosa,28,2.0,12000000.0,30,2,2360,8000000.0
Luka Ivanušec,27,3.0,12000000.0,48,13,3808,7800000.0
Dominik Livakovic,31,1.0,12000000.0,50,0,4552,6650000.0
Leandro Paredes,31,3.0,12000000.0,39,1,1608,5650000.0
Javi Galán,31,2.0,12000000.0,40,1,3372,5000000.0
Amine Harit,28,4.0,12000000.0,16,1,901,5000000.0
Fran García,26,2.0,12000000.0,40,2,3484,5000000.0
Sheraldo Becker,30,4.0,12000000.0,48,12,3749,3000000.0
José Cifuentes,26,3.0,12000000.0,26,2,1821,1400000.0
Faisal Al-Ghamdi,24,3.0,300000.0,24,0,1203,11720000.0
Harry Winks,30,3.0,10000000.0,20,0,1719,11600000.0
Hassan Tambakti,26,2.0,2000000.0,28,0,2434,11500000.0
Jens Cajuste,26,3.0,6000000.0,33,4,1687,11500000.0
Kevin Castaño,25,3.0,4000000.0,20,2,1666,11300000.0
Rodrigo Villagra,24,3.0,7000000.0,44,0,3793,11000000.0
Alidu Seidu,25,2.0,7000000.0,29,0,2489,11000000.0
Ricardo Pepi,23,4.0,9000000.0,36,13,2746,11000000.0
Hugo Cuypers,29,4.0,11000000.0,56,34,4554,11000000.0
Boubacar Traoré,24,3.0,5000000.0,15,1,740,11000000.0
Joseph Paintsil,28,4.0,11000000.0,39,18,3185,8500000.0
Musa Barrow,27,4.0,11000000.0,35,3,2123,6000000.0
Nino,28,2.0,11000000.0,55,5,4747,5000000.0
Altay Bayındır,27,1.0,11000000.0,40,0,3630,5000000.0
Sam Beukema,27,2.0,4500000.0,44,3,3763,10880000.0
Tomas Cvancara,25,4.0,4000000.0,30,15,1796,10500000.0
Kevin Álvarez,27,2.0,7000000.0,44,5,3872,10250000.0
Nico González,24,3.0,10000000.0,26,1,1409,21200000.0
Igor Julio,28,2.0,10000000.0,42,0,3153,16500000.0
Farès Chaïbi,23,3.0,10000000.0,41,8,2685,10000000.0
Ernest Muci,24,3.0,8000000.0,37,6,2304,10000000.0
Bitello,26,3.0,7000000.0,42,8,3462,10000000.0
Esequiel Barco,26,3.0,9000000.0,53,10,3717,10000000.0
Quentin Merlin,23,3.0,10000000.0,31,1,2292,10000000.0
Brenner,26,4.0,8000000.0,8,1,537,10000000.0
Mohamed-Ali Cho,22,4.0,8000000.0,24,2,770,10000000.0
Fabiano Parisi,25,2.0,10000000.0,34,2,2954,10000000.0
Dilane Bakwa,23,4.0,4000000.0,39,5,2750,10000000.0
Junior Mwanga,22,3.0,4000000.0,35,0,2456,10000000.0
Iván Jaime,25,3.0,5000000.0,33,11,2630,10000000.0
Gabriel Pereira,24,4.0,5000000.0,23,6,1572,10000000.0
Andrea Petagna,30,4.0,10000000.0,32,5,1689,9700000.0
Róger Guedes,29,4.0,10000000.0,41,21,3633,9100000.0
Gianluca Prestianni,20,4.0,10000000.0,33,3,1660,9000000.0
Giovani,22,4.0,10000000.0,15,1,384,9000000.0
Lucas Boyé,29,4.0,10000000.0,37,7,2580,8740000.0
Rodrigo Becão,30,2.0,10000000.0,28,2,2487,8310000.000000001
Franck Honorat,29,4.0,10000000.0,35,6,2638,8000000.0
Daniel Muñoz,29,2.0,10000000.0,39,8,3410,8000000.0
Julian Weigl,30,3.0,10000000.0,27,1,2063,7180000.0
Junior Dina Ebimbe,25,3.0,10000000.0,29,3,1466,6500000.0
Calvin Stengs,27,3.0,10000000.0,37,3,2814,6000000.0
Auston Trusty,27,2.0,10000000.0,48,4,4320,5800000.0
Juan Brunetta,28,3.0,10000000.0,39,11,3124,5400000.0
Sergio Camello,24,4.0,10000000.0,41,7,2608,5000000.0
Hassan Kadesh,33,2.0,200000.0,30,5,2730,9880000.0
Firas Al-Buraikan,25,4.0,3000000.0,32,18,2500,9830000.0
Aurèle Amenda,22,2.0,5000000.0,33,2,2473,9500000.0
Natan,25,2.0,5500000.0,26,0,2215,9500000.0
Diego Rossi,27,3.0,9500000.0,67,9,3991,6000000.0
Morgan Rogers,23,3.0,2800000.0,22,1,1278,9400000.0
Ross Stewart,29,4.0,2800000.0,15,11,1092,9300000.0
Gabriel Pec,24,4.0,6000000.0,50,14,3657,9300000.0
Julián Quiñones,28,4.0,9000000.0,42,23,3724,9170000.0
Hugo Larsson,21,3.0,9000000.0,29,2,1987,9000000.0
Luiz Araújo,29,4.0,6000000.0,43,6,2195,9000000.0
Pedro,20,4.0,7000000.0,23,3,945,9000000.0
Haji Wright,27,4.0,6000000.0,29,16,2465,9000000.0
Julian Draxler,32,4.0,6000000.0,18,2,762,9000000.0
Isak Hien,27,2.0,9000000.0,39,1,3237,8860000.0
Mitchel Bakker,25,3.0,9000000.0,40,4,2602,8800000.0
Ethan Ampadu,25,3.0,9000000.0,35,1,2947,8100000.0
Alan Varela,24,3.0,9000000.0,34,1,2554,8000000.0
Strahinja Erakovic,25,2.0,9000000.0,47,0,3959,8000000.0
Federico Redondo,23,3.0,9000000.0,45,2,3169,7450000.0
Angelo Fulgini,29,3.0,9000000.0,37,2,1599,7200000.0
Ryan Giles,26,2.0,9000000.0,48,0,4101,5850000.0
Edgar González,28,2.0,9000000.0,31,1,2340,4500000.0
Lucas Tousart,28,3.0,9000000.0,34,6,3005,2800000.0
Andoni Gorosabel,29,2.0,9000000.0,35,0,2186,1500000.0
Anastasios Bakasetas,32,3.0,9000000.0,41,13,3106,1000000.0
Sergi Canós,29,4.0,9000000.0,14,4,531,250000.0
Gabriel Fernández,31,4.0,2800000.0,35,10,2697,8900000.0
Tom Cannon,23,4.0,5000000.0,40,20,3210,8800000.0
Brandon Vazquez,27,4.0,8500000.0,40,17,3291,7810000.0
Milot Rashica,29,4.0,8500000.0,35,6,2267,5250000.0
Allan,28,3.0,7000000.0,22,0,1199,8199999.999999999
Matt Turner,31,1.0,8000000.0,7,0,630,8150000.0
Nikola Krstović,25,4.0,2200000.0,35,26,2665,8150000.0
Matías Viña,28,2.0,8000000.0,19,2,753,8100000.0
Malick Fofana,20,4.0,8000000.0,46,5,2366,19500000.0
M'Bala Nzola,29,4.0,8000000.0,34,15,2910,12600000.0
Petar Musa,27,4.0,8000000.0,41,11,1116,9000000.0
Jean-Mattéo Bahoya,20,4.0,2500000.0,23,5,969,8000000.0
Moritz Jenz,26,2.0,7500000.0,30,2,2511,8000000.0
Vaclav Cerny,28,4.0,8000000.0,41,15,2972,8000000.0
Philipp Köhn,27,1.0,4500000.0,42,0,3777,8000000.0
Ayase Ueda,27,4.0,6000000.0,42,23,3343,8000000.0
Faris Moumbagna,25,4.0,7000000.0,36,18,2839,8000000.0
Jorge de Frutos,28,4.0,8000000.0,46,5,3504,8000000.0
Yankuba Minteh,21,4.0,2000000.0,21,6,1512,8000000.0
Isaak Touré,22,2.0,6000000.0,25,1,1720,8000000.0
Gianluca Caprari,32,4.0,8000000.0,38,6,2536,8000000.0
Luis Suárez,28,4.0,8000000.0,32,7,1883,8000000.0
Georginio Wijnaldum,35,3.0,8000000.0,23,2,1099,8000000.0
Lucas Veríssimo,30,2.0,7000000.0,26,1,1813,8000000.0
Ibrahima Bamba,23,2.0,7000000.0,35,0,2908,8000000.0
Jovan Mijatovic,20,4.0,3000000.0,31,10,1481,8000000.0
Liel Abada,24,4.0,7000000.0,47,13,2082,8000000.0
Cyle Larin,30,4.0,8000000.0,32,9,1833,7500000.0
Tajon Buchanan,26,4.0,8000000.0,32,1,2465,7300000.0
Arkadiusz Milik,31,4.0,8000000.0,41,9,2255,7300000.0
Ramiz Zerrouki,27,3.0,8000000.0,41,2,3591,7200000.0
Luis Chávez,30,3.0,8000000.0,42,3,3603,6500000.0
Lucas Perri,28,1.0,8000000.0,63,0,5625,6500000.0
